Membership No  Date Joined  Active  
    82339      2019-10-14   no    
    92832      2020-12-14   no    
    50845      2019-1-17    no    
    92173      2016-6-16    no    
    30136      2018-8-13    no    
    28190      2018-10-24   no    
    41107      2018-1-25    no    
    19235      2015-3-16    no    
    86223      2020-8-25    no    
    96565      2019-5-11    no    
    32219      2019-8-12    no    
    51001      2019-1-7     no    
    34341      2018-7-14    no    
    98801      2015-10-25   no    
