Membership No  Date Joined  Active  
    95204      2020-2-22    yes   
    87460      2015-7-14    yes   
    14828      2020-10-15   yes   
    79002      2019-9-6     yes   
    36922      2020-11-11   yes   
    12239      2020-5-19    yes   
    94387      2017-9-6     yes   
    58286      2016-4-9     yes   
    59284      2016-10-2    yes   
    96565      2019-5-11    no    
    32219      2019-8-12    no    
    51001      2019-1-7     no    
    79002      2019-9-6     yes   
    34341      2018-7-14    no    
    36922      2020-11-11   yes   
    98801      2015-10-25   no    
    12239      2020-5-19    yes   
    94387      2017-9-6     yes   
    58286      2016-4-9     yes   
    59284      2016-10-2    yes   
