Membership No  Date Joined  Active  
    37602      2015-2-8     yes   
    92927      2018-10-6    yes   
    55485      2017-8-19    no    
    39700      2019-12-9    yes   
    28556      2015-12-4    yes   
    51725      2018-11-10   yes   
    69728      2015-4-6     yes   
    19354      2015-4-23    yes   
    84571      2016-4-1     no    
    74467      2015-4-7     no    
    32359      2015-7-4     no    
    41743      2016-3-19    no    
    60569      2017-3-10    yes   
    53861      2016-4-15    no    
    39797      2017-12-9    yes   
    18885      2017-11-6    no    
    19403      2017-10-3    yes   
    76500      2015-2-2     yes   
    59823      2018-10-11   yes   
    57110      2017-8-20    yes   
